loan_id,borrower_name,loan_amount,days_overdue,past_defaults,income_band,payment_consistency,city,recovery_probability,risk_flag,days_overdue_bucket
LN1000,Sophia York,141958,45,0,Mid,0.72,Crystalville,48,Medium,31-45
LN1001,Kimberly Watson,157337,0,0,High,0.72,North Katieland,74,High Priority,0-15
LN1002,Cynthia Norris,298167,30,0,Mid,0.96,South Johnview,66,High Priority,16-30
LN1003,Kristen Garcia,219041,0,0,Low,0.67,Nathanielmouth,56,Medium,0-15
LN1004,Kevin Wright,278795,0,0,Low,0.33,Sarahfort,38,Medium,0-15
LN1005,Mary Boyle,22747,5,0,Mid,0.44,Humphreyton,50,Medium,0-15
LN1006,Thomas Palmer,339030,120,0,High,0.78,North Destinytown,29,Low Priority,45+
LN1007,Paul Paul,276840,0,2,High,0.87,Christinefurt,58,Medium,0-15
LN1008,Lisa Brooks,227624,0,0,Low,0.78,North Gary,61,High Priority,0-15
LN1009,Christopher Wells,68555,15,0,High,0.48,Robertburgh,56,Medium,0-15
LN1010,Brittany Murray,220551,45,0,Low,0.7,Batesport,39,Medium,31-45
LN1011,Judy Miller,291836,90,1,High,0.93,Angelaland,36,Medium,45+
LN1012,Gina Ayers,445822,60,0,Low,0.33,Isaacburgh,14,Low Priority,45+
LN1013,Amy Ashley,75591,45,1,Mid,0.71,Riveramouth,36,Medium,31-45
LN1014,Trevor Russell,214776,0,0,Low,0.86,New Coreyberg,65,High Priority,0-15
LN1015,Jill Davis,396896,0,0,Low,0.51,Timothybury,48,Medium,0-15
LN1016,Katie Fowler,199262,45,1,Mid,0.84,Patriciaberg,42,Medium,31-45
LN1017,Patrick Burke,320804,60,1,High,0.9,North Baileyfort,47,Medium,45+
LN1018,Tammy Joyce,491819,5,0,Low,0.53,West Teresafurt,46,Medium,0-15
LN1019,Natasha Downs,497867,30,2,Mid,0.38,Port Jacob,13,Low Priority,16-30
LN1020,Jacob Jordan,492525,45,1,Low,0.48,Munozburgh,16,Low Priority,31-45
LN1021,Kelly Brown,141626,15,0,Low,0.38,New Debraland,35,Medium,0-15
LN1022,Timothy Stevens,265310,60,0,Mid,0.79,Lake Steven,46,Medium,45+
LN1023,Lori Mills,231428,0,0,Mid,0.46,East Katie,53,Medium,0-15
LN1024,Frederick Acosta,344767,15,1,High,0.74,Lake Rachel,57,Medium,0-15
LN1025,Matthew Carson,455773,30,2,High,0.43,Hendersonchester,24,Low Priority,16-30
LN1026,Samantha Jones,462141,60,0,Low,0.55,Priceport,26,Low Priority,45+
LN1027,Diana Moon,407261,0,0,Mid,0.87,Lake Jasonton,74,High Priority,0-15
LN1028,Scott Holt,75016,5,0,Mid,0.64,East Timothy,60,High Priority,0-15
LN1029,Kathleen Crawford,248576,0,0,High,0.53,Brittneychester,64,High Priority,0-15
LN1030,Kelly Brown,88840,5,0,Low,0.47,Lauratown,44,Medium,0-15
LN1031,Timothy Morrison,85318,15,0,Low,0.33,North Elizabethchester,32,Low Priority,0-15
LN1032,Molly Ashley,308880,90,0,Low,0.54,Rachelbury,13,Low Priority,45+
LN1033,Marcus Espinoza,337824,0,0,Mid,0.99,South Deniseberg,80,High Priority,0-15
LN1034,Larry Nunez,214806,30,1,Low,0.81,Jeffreyberg,38,Medium,16-30
LN1035,Regina Carlson,481079,15,3,Low,0.87,Lynnshire,24,Low Priority,0-15
LN1036,Alan Potter,42671,45,0,Low,0.33,West Williammouth,20,Low Priority,31-45
LN1037,Kelly Williams,331955,5,0,Mid,0.87,Johnsontown,72,High Priority,0-15
LN1038,Terri Reyes,162483,30,0,Mid,0.57,Port Christinefort,46,Medium,16-30
LN1039,Michael Sims,382833,45,1,Mid,0.45,Elizabethchester,22,Low Priority,31-45
LN1040,Julia Smith,304062,60,0,Mid,0.87,Benderland,50,Medium,45+
LN1041,Meagan Armstrong,127512,15,0,High,0.98,Michaeltown,81,High Priority,0-15
LN1042,Douglas York,303076,60,1,Low,0.54,Arroyoton,13,Low Priority,45+
LN1043,Vanessa Juarez,35151,45,2,Mid,0.92,Danielstad,34,Low Priority,31-45
LN1044,Sonya Sanchez,442515,0,0,High,0.72,Pamelaville,74,High Priority,0-15
LN1045,Aaron Rhodes,199426,5,2,High,0.5,Clayhaven,37,Medium,0-15
LN1046,Felicia Smith,303501,15,1,Mid,0.46,Davisshire,35,Medium,0-15
LN1047,Glenda Jacobs,110272,0,0,Low,0.56,Port Matthew,50,Medium,0-15
LN1048,Willie Potter,148391,45,1,Mid,0.37,North James,18,Low Priority,31-45
LN1049,Elizabeth Rodriguez,191890,30,0,Mid,0.99,Port Markton,68,High Priority,16-30
LN1050,Bridget Stout,225362,60,1,Mid,0.65,Port Jennifer,26,Low Priority,45+
LN1051,Megan Fowler,453006,15,0,Mid,0.5,Lisafurt,49,Medium,0-15
LN1052,Shawn West,122946,45,0,High,0.63,East Sarabury,52,Medium,31-45
LN1053,Christopher Wilson,102989,60,0,Low,0.95,Crystalhaven,46,Medium,45+
LN1054,Dean Murillo,378896,15,0,High,0.35,Jefferybury,50,Medium,0-15
LN1055,George King,161564,5,2,Low,0.42,Sotoville,17,Low Priority,0-15
LN1056,Sheila Martinez,185656,5,1,High,0.35,Mayoville,42,Medium,0-15
LN1057,Cheryl Ray,262289,30,3,Low,0.66,Lake Christopherfurt,7,Low Priority,16-30
LN1058,Ashley Poole,250785,5,1,Low,0.8,New Veronicaview,48,Medium,0-15
LN1059,Kelly Weaver,387654,0,1,High,0.91,North Michelleborough,72,High Priority,0-15
LN1060,Mark Fox,159788,0,0,Mid,0.44,Port Nancyport,52,Medium,0-15
LN1061,Alec Page,97575,30,1,High,0.54,Lake Antoniofurt,41,Medium,16-30
LN1062,Vickie Turner,426619,15,0,Mid,0.53,Swansonton,50,Medium,0-15
LN1063,Stephanie Walker,72921,15,0,Mid,0.32,Murphybury,40,Medium,0-15
LN1064,Jessica Evans,90313,45,0,Low,0.67,South Jorge,38,Medium,31-45
LN1065,Alexis Morris,432724,0,3,Mid,0.89,North Thomasshire,38,Medium,0-15
LN1066,Kaitlyn Edwards,209407,15,0,Mid,0.81,New Tyler,64,High Priority,0-15
LN1067,Dr. Jose Frank,114476,90,1,Low,0.58,North Kristina,3,Low Priority,45+
LN1068,Nathan Kelly,230706,5,0,Low,0.97,West Debrabury,68,High Priority,0-15
LN1069,Jill Davidson,203062,5,1,Low,0.94,Englishhaven,55,Medium,0-15
LN1070,Christopher Velez,412942,0,0,Mid,0.76,Kellystad,68,High Priority,0-15
